#;patent_id;app_year;patent_year;Assignee_Org;Assignee 1;CPC;patent_title;patent_abstract;Finales Resultat
200;10319365;2016;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G10L13/10,G10L15/26,G10L13/06,G10L2013/105;Text-to-speech processing with emphasized output audio;Systems and methods for generating output audio with emphasized portions are described. Spoken audio is obtained and undergoes speech processing (e.g., ASR and optionally NLU) to create text. It may be determined that the resulting text includes a portion that should be emphasized (e.g., an interjection) using at least one of knowledge of an application run on a device that captured the spoken audio, prosodic analysis, and/or linguistic analysis. The portion of text to be emphasized may be tagged (e.g., using a Speech Synthesis Markup Language (SSML) tag). TTS processing is then performed on the tagged text to create output audio including an emphasized portion corresponding to the tagged portion of the text.;3
201;10325201;2019;2019;STRADVISION, INC.;STRADVISION, INC.;G06N3/084,G06F18/24143,G06F18/25,G06F18/254,G06N3/045,G06N3/047,G06N3/088,G06V10/764,G06V10/809,G06V10/82,G06V20/41,G06V20/52,G06V20/44;Method and device for generating deceivable composite image by using GAN including generating neural network and discriminating neural network to allow surveillance system to recognize surroundings and detect rare event more accurately;"A method for generating a deceivable composite image by using a GAN (Generative Adversarial Network) including a generating and a discriminating neural network to allow a surveillance system to recognize surroundings and detect a rare event, such as hazardous situations, more accurately by using a heterogeneous sensor fusion is provided. The method includes steps of: a computing device, generating location candidates of a rare object on a background image, and selecting a specific location candidate among the location candidates as an optimal location of the rare object by referring to candidate scores; inserting a rare object image into the optimal location, generating an initial composite image; and adjusting color values corresponding to each of pixels in the initial composite image, generating the deceivable composite image. Further, the method may be applicable to a pedestrian assistant system and a route planning by using 3D maps, GPS, smartphones, V2X communications, etc.";3
202;10325599;2016;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G10L15/30,G06F40/295,G10L13/00,G10L15/1815,G10L15/22,H04L51/00,H04L51/02,H04M3/42068,H04M3/5307,H04M7/0042,H04W4/12,G10L13/02,G10L15/02,G10L15/142,G10L2015/223,H04M3/53341,H04M2201/40,H04W4/14;Message response routing;Systems and methods for extracting contact information from a message are described. A system can receive a message for a recipient, where the message originates from a message source having a first contact identifier (i.e., phone number, text address, etc.). The system can determine text data associated with the content of that message and process the text data to determine that the message refers to a second contact identifier that is different from the first contact identifier. The system may output the message to a recipient device (such as using text-to-speech, etc.) and may store an association between the message source and the second contact identifier. When the recipient speaks a command to reply to the first message or contact the message source, the system may determine the reply is intended for the message source and may route the reply using the second contact identifier included in the first message.;0
203;10327661;2015;2019;"Board of Supervisors of Louisiana State University and Agricultural and Mechanical College;Louisiana Tech Research Corporation";Board of Supervisors of Louisiana State University and Agricultural and Mechanical College;A61B5/349,A61B5/316,A61B5/369,A61B5/4094,A61B5/7275,G16H50/30,A61B5/02405,A61B5/352,A61B5/374,A61B5/7203,A61B5/7246,A61B5/7257,A61B5/726;Biomarkers for determining susceptibility to SUDEP;"A method for determining an increased risk of death of a patient includes receiving ECG data of the patient generated during a first time period; receiving EEG data of the patient generated during the first time period; composing a feature of the ECG data and a feature of the EEG data over a common time frame and determining a statistical measure of association between the ECG data and the EEG data; and determining whether the degree of association exceeds a predetermined threshold, thereby indicating whether an increased risk is present.";0
204;10332513;2016;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G10L15/22,G06F3/167,G10L15/063,G10L15/183,H04M3/42204,G10L15/26,G10L17/00,G10L2015/0635,G10L2015/223,G10L2015/225,H04M3/00,H04M2201/40;Voice enablement and disablement of speech processing functionality;Methods and devices for enabling and disabling applications using voice are described herein. In some embodiments, an individual speak an utterance to their electronic device, which may send audio data representing the utterance to a backend system. The backend system may generate text data representing the utterance, and may determine that an intent of the utterance was for an application to be enabled or disabled for their user account on the backend system. If, for instance, the intent was to enable the application, the backend system may receive one or more rules for performing functionalities of the application, as well as one or more sample templates of sample utterances and sample responses that future utterances may use when requesting the application. Furthermore, one or more invocation phrases that may be used within the future utterances to invoke the application may be received, along with slot values for the sample templates.;1
205;10332517;2017;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G10L15/22,G06F3/167,G06F21/32,G06F21/6245,G06F21/64,G10L15/26,G10L17/00,G10L2015/223;Privacy mode based on speaker identifier;Techniques for configuring a speech processing system with a privacy mode that is associated with the identity of a user that activated the privacy mode are described. A user may speak an indication to have the speech processing system activate a privacy mode. When such an indication is detected by the speech processing system, the speech processing system determines an identity of the user, determines a unique system identifier associated with the user, and generates a privacy mode flag. The speech processing system then associates the privacy mode flag with the user's unique system identifier. The privacy mode flag indicates to components of the speech processing system that any data related to processing of the user's utterances should not be sent to long term storage, thus causing various components of the system to delete data once the respective component is finished processing with respect to an utterance of the user.;0
206;10334328;2018;2019;;;H04N21/8549,G06F16/78,G06F16/783,G06N20/00,G11B27/031,H04N21/252,H04N21/25891,H04N21/44204,H04N21/8456,G06N3/045,G06N5/022,G06N5/025;Automatic video generation using auto-adaptive video story models;A video processing system generates and automatically updates videos. A client inputs a smart script that defines general preferences and information to include in a video. The video processing system generates a model of the story from the smart script. A story model comprises story beats that define order and characteristics of information that is presented in a story. The video processing system accesses client content (e.g., video clips, images, and testimonials from a client website) and assigns content items to story beats. The story model and associated content is rendered into a video. The video processing system can then adapt the story model in response to viewer feedback, external events, or other client-supplied parameters. Adapting the story model may include reordering, adding, or removing story beats, or altering parameter values associated with story beat characteristics. Thus, the video processing system can iteratively improve and update a video automatically.;6
207;10346524;2018;2019;SAP SE;SAP SE;G06F40/151,G06F40/30,G06N3/02,G06N3/044,G06N3/045,G06N3/047,G06N3/08,G06Q10/10,G06Q50/01;Position-dependent word salience estimation;Methods, systems, and computer-readable storage media for receiving two or more electronic documents, each electronic document including text data, a second electronic document including a link to a first electronic document, processing word representations of words of the first electronic document using a first encoder to provide first output and a context vector, processing text data of the second electronic document and the context vector using a first decoder to provide second output, determining, by an attention mechanism, a plurality of weights for each word in the text data of the first electronic document based on the first output, and the second output, and providing a word salience value for each word, a word salience value comprising a sum of weights of a respective word.;1
208;10365887;2016;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G06F3/167,G10L15/26,G10L2015/088,G10L2015/223,G10L2015/225;Generating commands based on location and wakeword;Systems and methods for generating command indications, via a computing device, based on audio data including a keyword are described. The computing device receives and processes audio data to determine whether the audio data includes a keyword. The keyword may be a device user identifier, such as an individual's name. Once a keyword is detecting, audio data surrounding the keyword is processed to determine a command contained within the surrounding data, and the command is conveyed to the computing device's user either audibly or visually. Alternatively, a location of the device is determined, a command is determined based on the device's location, and the command is conveyed to a user of the device either audibly or visually.;1
209;10373023;2019;2019;STRADVISION, INC.;STRADVISION, INC.;G06N3/088,G06F17/11,G06F18/2148,G06N3/045,G06N3/047,G06T7/246,G06T11/00,G06T15/10,G06T19/006,G06V10/764,G06V10/82,G06V20/13,G06T2207/20081;Learning method and learning device for runtime input transformation of real image on real world into virtual image on virtual world, to be used for object detection on real images, by using cycle GAN capable of being applied to domain adaptation;"A method for learning a runtime input transformation of real images into virtual images by using a cycle GAN capable of being applied to domain adaptation is provided. The method can be also performed in virtual driving environments. The method includes steps of: (a) (i) instructing first transformer to transform a first image to second image, (ii-1) instructing first discriminator to generate a 1_1-st result, and (ii-2) instructing second transformer to transform the second image to third image, whose characteristics are same as or similar to those of the real images; (b) (i) instructing the second transformer to transform a fourth image to fifth image, (ii-1) instructing second discriminator to generate a 2_1-st result, and (ii-2) instructing the first transformer to transform the fifth image to sixth image; (c) calculating losses. By the method, a gap between virtuality and reality can be reduced, and annotation costs can be reduced.";3
210;10373026;2019;2019;STRADVISION, INC.;STRADVISION, INC.;G06N3/084,G06F18/214,G06F18/217,G06N3/045,G06N3/047,G06N3/088,G06N5/046,G06V10/454,G06V10/82,G06V20/13,G06V20/56;Learning method and learning device for generation of virtual feature maps whose characteristics are same as or similar to those of real feature maps by using GAN capable of being applied to domain adaptation to be used in virtual driving environments;"A method of learning for deriving virtual feature maps from virtual images, whose characteristics are same as or similar to those of real feature maps derived from real images, by using GAN including a generating network and a discriminating network capable of being applied to domain adaptation is provided to be used in virtual driving environments. The method includes steps of: (a) a learning device instructing the generating network to apply convolutional operations to an input image, to thereby generate a output feature map, whose characteristics are same as or similar to those of the real feature maps; and (b) instructing a loss unit to generate losses by referring to an evaluation score, corresponding to the output feature map, generated by the discriminating network. By the method using a runtime input transformation, a gap between virtuality and reality can be reduced, and annotation costs can be reduced.";3
211;10379995;2019;2019;Capital One Services, LLC;Capital One Services, LLC;G06F9/541,G06F8/71,G06F9/54,G06F9/547,G06F11/3608,G06F11/3628,G06F11/3636,G06F11/3684,G06F11/3688,G06F16/215,G06F16/2237,G06F16/2264,G06F16/2423,G06F16/24568,G06F16/248,G06F16/254,G06F16/258,G06F16/283,G06F16/285,G06F16/288,G06F16/335,G06F16/35,G06F16/90332,G06F16/90335,G06F16/9038,G06F16/906,G06F16/93,G06F17/15,G06F17/16,G06F17/18,G06F18/2115,G06F18/213,G06F18/214,G06F18/2148,G06F18/217,G06F18/2193,G06F18/22,G06F18/23,G06F18/24,G06F18/2411,G06F18/2415,G06F18/285,G06F18/40,G06F21/552,G06F21/60,G06F21/6245,G06F21/6254,G06F30/20,G06F40/117,G06F40/166,G06F40/20,G06N3/04,G06N3/044,G06N3/045,G06N3/047,G06N3/06,G06N3/08,G06N3/084,G06N3/088,G06N5/00,G06N5/01,G06N5/02,G06N5/022,G06N5/04,G06N7/00,G06N7/01,G06N20/00,G06N20/10,G06N20/20,G06Q10/04,G06T7/194,G06T7/246,G06T7/248,G06T7/254,G06T11/001,G06V10/768,G06V10/993,G06V30/194,G06V30/1985,H04L63/1416,H04L63/1491,H04L67/306,H04L67/34,H04N21/23412,H04N21/8153,G06T2207/10016,G06T2207/10024,G06T2207/20081,G06T2207/20084;Systems and methods to identify breaking application program interface changes;Systems and methods for managing Application Programming Interfaces (APIs) are disclosed. For example, the system may include one or more memory units storing instructions and one or more processors configured to execute the instructions to perform operations. The operations may include sending a first call to a first node-testing model associated with a first API and receiving a first model output comprising a first model result and a first model-result category. The operations may include identifying a second node-testing model associated with a second API and sending a second call to the second node testing model. The operations may include receiving a second model output comprising a second model result and a second model-result category. The operations may include performing at least one of sending a notification, generating an updated first node-testing model, generating an updated second node-testing model, generating an updated first call, or generating an updated second call.;0
212;10380724;2019;2019;STRADVISION, INC.;STRADVISION, INC.;G06N3/084,G06F18/214,G06F18/217,G06F18/22,G06F18/2431,G06N3/04,G06N3/045,G06N3/047,G06N3/088,G06T5/60,G06T5/73,G06T5/80,G06T7/0002,G06V10/765,G06V10/82,G06T2207/20076,G06T2207/20081,G06T2207/20084,G06T2207/20201,G06T2207/30252,H04N23/682,H04N23/683;Learning method and learning device for reducing distortion occurred in warped image generated in process of stabilizing jittered image by using GAN to enhance fault tolerance and fluctuation robustness in extreme situations;"A method for learning reduction of distortion occurred in a warped image by using a GAN is provided for enhancing fault tolerance and fluctuation robustness in extreme situations. And the method includes steps of: (a) if an initial image is acquired, instructing an adjusting layer included in the generating network to adjust at least part of initial feature values, to thereby transform the initial image into an adjusted image; and (b) if at least part of (i) a naturality score, (ii) a maintenance score, and (iii) a similarity score are acquired, instructing a loss layer included in the generating network to generate a generating network loss by referring to said at least part of the naturality score, the maintenance score and the similarity score, and learn parameters of the generating network. Further, the method can be used for estimating behaviors, and detecting or tracking objects with high precision, etc.";1
214;10387970;2014;2019;INTUIT INC.;INTUIT INC.;G06Q40/123;Systems and methods for analyzing and generating explanations for changes in tax return results;Systems, methods and articles of manufacture for performing a comparison of tax results based on different sets of tax data, and generating an explanation as to why the tax results differ or do not differ due to the differences in the tax data. The system includes a computing device, a data store in communication with the computing device and a tax preparation software application executable by the computing device. The tax preparation software application has a tax calculation engine, a tax calculation graph, and a change analysis engine. The tax calculation engine is configured to perform a plurality of tax calculation operations based on the tax calculation graph. The change analysis engine is configured to determine whether tax results based on different tax data differ or do not differ. The system may also generate explanation(s) of the reasons that the tax results differ or do not differ due to the different tax data.;1
215;10395392;2019;2019;STRADVISION, INC.;STRADVISION, INC.;G06N3/08,G06F18/214,G06N3/045,G06N3/047,G06T7/90,G06T11/001,G06V10/20,G06V10/82,G06T2207/10024,G06T2207/20081,G06T2207/20084;Learning method and learning device for strategic transforming RGB training image sets into non-RGB training image sets, to be used for learning object detection on objects of images in non-RGB format, by using cycle GAN, resulting in significantly reducing computational load and reusing data;"A method for learning transformation of an annotated RGB image into an annotated Non-RGB image, in target color space, by using a cycle GAN and for domain adaptation capable of reducing annotation cost and optimizing customer requirements is provided. The method includes steps of: a learning device transforming a first image in an RGB format to a second image in a non-RGB format, determining whether the second image has a primary or a secondary non-RGB format, and transforming the second image to a third image in the RGB format; transforming a fourth image in the non-RGB format to a fifth image in the RGB format, determining whether the fifth image has a primary RGB format or a secondary RGB format, and transforming the fifth image to a sixth image in the non-RGB format. Further, by the method, training data can be generated even with virtual driving environments.";3
216;10402726;2018;2019;SPARKCOGNITION, INC.;SPARKCOGNITION, INC.;G06N3/088,G06N3/10,G06F3/04842,G06N3/045,G06N3/047,G06N5/01,G06N7/01,G06N20/20;Model building for simulation of one or more target features;A method includes receiving an input data set, each entry including multiple features. The method includes receiving a user input identifying a target feature of the multiple features and a target value of the target feature. The method includes determining, one or more correlated features of the multiple features. The method includes providing the input data set to multiple neural networks (including multiple VAEs) to train the multiple neural networks. The method includes generating a simulated data set based on the input data set, each entry including at least the target feature and the one or more correlated features. Values of the one or more correlated features are randomized or pseudorandomized and the target feature is fixed at the target value. The method includes providing the simulated data set to the multiple neural networks to generate output data and displaying a GUI based on the output data.;1
218;10418024;2018;2019;salesforce.com, inc.;salesforce.com, inc.;G10L13/0335,G10L13/047,G10L13/08,G10L21/003;Systems and methods of speech generation for target user given limited data;Systems and methods are provided for training an audio generation model for a first person using a first voice audio data and a first text transcript of the first voice audio data. Using a second voice audio data and a second text transcript of the second voice audio data, a plurality of pitch voice audio data for the second person may be generated with different pitches. The audio generation model may be trained for the second person using the generated plurality of pitch voice audio data with the different pitches for the second person. Output voice audio may be generated for the second person using received text and the model trained with the generated plurality of pitch voice audio data.;6
219;10418032;2016;2019;SoundHound, Inc.;SoundHound, Inc.;G06F16/3329,G10L15/22,G06F16/24522,G06F16/258,G10L15/1815,G10L15/19,G10L15/26;System and methods for a virtual assistant to manage and use context in a natural language dialog;A dialog with a conversational virtual assistant includes a sequence of user queries and systems responses. Queries are received and interpreted by a natural language understanding system. Dialog context information gathered from user queries and system responses is stored in a layered context data structure. Incomplete queries, which do not have sufficient information to result in an actionable interpretation, become actionable with use of context data. The system recognizes the need to access context data, and retrieves from context layers information required to transform the query into an executable one. The system may then act on the query and provide an appropriate response to the user. Context data buffers forget information, perhaps selectively, with the passage of time, and after a sufficient number and type of intervening queries.;3
220;10418033;2017;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G10L15/22,G06F3/167,G06F16/00,G06F16/635,G10L13/08,G10L15/1815,G10L15/30,G10L17/22,G10L13/00,G10L15/00,G10L2015/223;Configurable output data formats;Configurable core domains of a speech processing system are described. A core domain output data format for a given command is originally configured with default content portions. When a user indicates additional content should be output for the command, the speech processing system creates a new output data format for the core domain. The new output data format is user specific and includes both default content portions as well as user preferred content portions.;1
221;10440431;2016;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;H04N21/44218,H04N21/23418,H04N21/252,H04N21/25891,H04N21/44226,H04N21/4532,H04N21/4666,H04N21/4667,H04N21/812,H04N21/84,H04N21/8549;Adaptive and automatic video scripting;Systems and methods are provided for facilitating automated video scripting, Video frames may be analyzed to determine scores indicative of the association between a characteristic of the video frame and an attribute of a theme associated with a particular person. Then, video frames with particular scores can be added together to automatically create a video script. Neural networks can be used to determine the scores. The neural network may also be trained using training data, and updated based on the interaction of a person to a video script.;3
222;10445356;2017;2019;Pulselight Holdings, Inc.;Pulselight Holdings, Inc.;G06F16/345,G06F16/334,G06F40/30,G06F40/58,G06N3/044,G06N3/08,G06N3/084,G06N3/045,G06N7/01;Method and system for analyzing entities;A recurrent neural network (RNN) method implemented on a computer system is used to produce summaries of unstructured text generated by multiple networks of individuals interacting over time by encoding the unstructured text into intermediate representations and decoding the intermediate representations into summaries of each network. Parameter data for the RNN is obtained by using multiple different versions of the same source texts to train the computer system. The method and computer system can be used to identify which of the networks match a query by determining which network generates the query with low or lowest cost.;2
223;10446126;2018;2019;;;G10H1/0025,G10H1/0091,G10H1/20,G10H7/02,G10H2210/105,G10H2210/115,G10H2210/151,G10H2240/131,G10H2250/541;System for generation of musical audio composition;A musical audio composition is generated based on a content library. The library is a collection of sequences and instruments. Sequences are partial musical compositions, while instruments are groups of audio samples. Instruments are made of audio data and musical data describing the events recorded in the audio. The process begins by reading the library. A new chain is created. A succession of sequences are selected to create a series of segments in the chain. The events in the selected sequences determine the selection of instruments. Algorithms determine the final arrangements and exact modulations of source audio to target outputs. The source audio are modulated, mixed and output as a stream of audio data. Finally the selections and events of the finished segment are output as metadata. An unlimited number of segments can be fabricated in series, each building and evolving from the preceding segments in the chain.;2
224;10446147;2017;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G06F40/205,G10L15/22,G06F3/167,G06F40/30,G10L15/063,G10L15/26,G10L2015/223;Contextual voice user interface;Techniques for providing a contextual voice user interface that enables a user to query a speech processing system with respect to the decisions made to answer the user's command are described. The speech processing system may store speech processing pipeline data used to process a command. At some point after the system outputs content deemed responsive to the command, a user may speak an utterance corresponding to an inquiry with respect to the processing performed to respond to the command. For example, the user may state âwhy did you tell me that?â In response thereto, the speech processing system may determine the stored speech processing pipeline data used to respond to the command, and may generate output audio data that describes the data and computing decisions involved in determining the content deemed responsive to the command.;2
225;10453434;2018;2019;;;G06F16/634,G10H1/0025,G06F3/0482,G06F7/582,G06F16/632,G06N7/00,G06N7/01,G10L13/06,G10L25/03,G10L25/18,G10L25/24,G10L25/54,G06N3/088,G06N3/126,G10H2210/041,G10H2240/081,G10H2240/141,G10H2240/145,G10H2250/235,G10H2250/261;System for synthesizing sounds from prototypes;"A system is presented for generation of output sounds having psychoacoustic qualities comparable to input sound or sounds. Short term and intermediate term features are computed for each input sound, sound components are clustered, filtered, and scored; and a prediction learning system is trained on the probabilities of classes of regions over time. A decoder can make use of this information to generate outputs that sound similar to, but not the same as, the input sound or sounds. The method and apparatus can be operated with no special training.";2
226;10453476;2017;2019;OBEN, INC.;OBEN, INC.;G10L25/30,G06N3/04,G06N3/045,G06N3/084,G10L21/007,G10L21/013,G10L25/24,G10L2021/0135;Split-model architecture for DNN-based small corpus voice conversion;A voice conversion system suitable for encoding small and large corpuses is disclosed. The voice conversion system comprises hardware including a neural network for generating estimated target speech data based on source speech data. The neural network includes an input layer, an output layer, and a novel split-model hidden layer. The input layer comprises a first portion and a second portion. The output layer comprises a third portion and a fourth portion. The hidden layer comprises a first subnet and a second subnet, wherein the first subnet is directly connected to the first portion of the input layer and the third portion of the output layer, and wherein the second subnet is directly connected to the second portion of the input layer and the fourth portion of the output layer. The first subnet and second subnet operate in parallel, and link to different but overlapping nodes of the input layer.;1
227;10467274;2017;2019;Snap Inc.;Snap Inc.;G06N3/006,G06F16/3344,G06F16/338,G06F18/256,G06N3/044,G06N3/045,G06N3/084,G06V10/811,G06V10/82,G06V10/94,G06N5/02,G06N5/022;Deep reinforcement learning-based captioning with embedding reward;An image captioning system and method is provided for generating a caption for an image. The image captioning system utilizes a policy network and a value network to generate the caption. The policy network serves as a local guidance and the value network serves as a global and lookahead guidance.;4
228;10467347;2016;2019;ARRIA DATA2TEXT LIMITED;ARRIA DATA2TEXT LIMITED;G06F40/157,G06F40/56,G06F16/3344,G06F16/93,G06F40/117,G06F40/211,G06F40/232,G06F40/253,G06F40/268,G06F40/284;Method and apparatus for natural language document orchestrator;Methods, apparatuses, and computer program products are described herein that are configured to be embodied as a natural language document orchestrator. In some example embodiments, a method is provided that comprises generating natural language text. The method of this embodiment may also include executing document orchestration requests from a scripted input language file.;2
229;10468014;2019;2019;Capital One Services, LLC;Capital One Services, LLC;G10L13/033,G10L25/51,G06F3/167,G10L15/07,G10L15/22,G10L17/26,H03G3/32;Updating a speech generation setting based on user speech;A device causes a communication session to be established between the device and a user device to allow the device and the user device to communicate speech, and receives user speech from the user device. The device processes the user speech using a natural language processing technique to determine a plurality of characteristics of the user speech, and updates a speech generation setting of a plurality of speech generation settings based on the plurality of characteristics of the user speech. The device generates, after updating the speech generation setting, device speech using a text-to-speech technique based on the speech generation setting, and sends the device speech to the user device.;1
230;10468019;2017;2019;Kadho, Inc.;Kadho, Inc.;G10L15/187,G10L15/02,G10L15/142,G10L15/16,G10L15/22,G10L15/30,G10L15/06,G10L25/51,G10L2015/025;System and method for automatic speech recognition using selection of speech models based on input characteristics;A method and system method for automatic speech recognition using selection of speech models based on input characteristics is disclosed herein. The method includes obtaining speech data from a speaker utilizing a microphone or an audio upload. The system and method select the best speech recognition model to automatically decode the input speech and continuously update models by updating/creating models in a database based on users speech abilities.;0
231;10469665;2016;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;H04M3/5191,G06F3/0481,G06F40/205,G06F40/35,G06N3/044,G06N3/08,G06Q10/06,H04L51/02,H04L51/046,H04L51/216,H04L67/141,H04L67/306,H04L67/535,H04M3/42382,H04M3/5233,H04M3/527,G06N3/006;Workflow based communications routing;Disclosed are various embodiments for routing communications to service agents based on a workflow. A computing device identifies a user intent object corresponding to a user interaction with the computing device. The computing device then identifies a workflow corresponding to the user intent object. Later, the computing device identifies a service agent capable of completing the workflow. Then, the computing device routes a user to the service agent.;0
232;10475438;2017;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G10L13/10,G10L13/033,G10L13/047,G10L2013/105;Contextual text-to-speech processing;A text-to-speech (TTS) system that is capable of considering characteristics of various portions of text data in order to create continuity between segments of synthesized speech. The system can analyze text portions of a work and create feature vectors including data corresponding to characteristics of the individual portions and/or the overall work. A TTS processing component can then consider feature vector(s) from other portions when performing TTS processing on text of a first portion, thus giving the TTS component some intelligence regarding other portions of the work, which can then result in more continuity between synthesized speech segments.;1
233;10481579;2019;2019;Nanotronics Imaging, Inc.;Nanotronics Imaging, Inc.;G05B19/406,G05B19/19,G05B19/4183,G06Q10/0633,G06Q10/0639,G05B19/41805,G05B2219/31027,G05B2219/31046,G05B2219/40556,G06N3/044,G06N3/045,G06N7/01,G06N20/10,G06N20/20,G06Q50/04,Y02P90/02;Dynamic training for assembly lines;Aspects of the disclosed technology provide an Artificial Intelligence Process Control (AIPC) for automatically detecting errors in a manufacturing workflow of an assembly line process, and performing error mitigation through the update of instructions or guidance given to assembly operators at various stations. In some implementations, the disclosed technology utilizes one or more machine-learning models to perform error detection and/or propagate instructions/assembly modifications necessary to rectify detected errors or to improve the product of manufacture.;1
234;10484542;2018;2019;;;H04M3/5183,G06F40/279,G06F40/35,H04L51/02,H04M3/42382,H04M2203/2061;System and method for hybridized chat automation;"In a system for managing blended agent and automated chat in a contact center setting, the system includes: a chat orchestration server invoking natural language processing on a received communication, selecting a standardized text communication responsive to the natural-language-processed communication, and transmitting the standardized text communication to an agent device; and a knowledge management server for determining confidence values and populating ranked lists of responsive standardized text communications.";1
235;10489393;2016;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G06F16/243,G10L15/22,G06F16/24522,G06F16/2455,G06F16/3329,G06F16/9038,G06F40/205,G06F40/211,G06F40/30,G10L15/26,G10L13/00;Quasi-semantic question answering;A voice-controlled question answering system that uses both a knowledge base and a detailed index of other sources that may be accessible over the Internet. The knowledge base is used to answer questions of more general interest whose answers are contained in the knowledge base. The index is used to answer more complex questions that are not answerable using the knowledge base. Web and other sources are analyzed to create the index, where text segments are indexed along with data describing the text segments in a quasi-semantic way. Quasi-semantic features are extracted from incoming spoken questions and used, along with machine learning trained models, to identify an indexed text segment that includes the answer to the question. The text segment may then be rearranged or simply passed to a speech synthesizer so the answer may be spoken aloud to a user.;3
236;10489682;2017;2019;Automation Anywhere, Inc.;Automation Anywhere, Inc.;G06N3/084,G06F18/214,G06F18/41,G06N3/04,G06N3/045,G06N3/08,G06V30/162,G06V30/19133,G06V30/19147,G06V30/224,G06V30/414,G06V30/416,G06N3/044,G06V30/10;Optical character recognition employing deep learning with machine generated training data;An optical character recognition system employs a deep learning system that is trained to process a plurality of images within a particular domain to identify images representing text within each image and to convert the images representing text to textually encoded data. The deep learning system is trained with training data generated from a corpus of real-life text segments that are generated by a plurality of OCR modules. Each of the OCR modules produces a real-life image/text tuple, and at least some of the OCR modules produce a confidence value corresponding to each real-life image/text tuple. Each OCR module is characterized by a conversion accuracy substantially below a desired accuracy for an identified domain. Synthetically generated text segments are produced by programmatically converting text strings to a corresponding image where each text string and corresponding image form a synthetic image/text tuple.;5
237;10490195;2017;2019;Amazon Technologies, Inc.;Amazon Technologies, Inc.;G10L17/04,G06F3/167,G10L13/00,G10L15/1815,G10L15/22,G10L17/22;Using system command utterances to generate a speaker profile;"Systems, methods, and devices related to establishing voice identity profiles for use with voice-controlled devices are provided. The embodiments disclosed enhance user experience by customizing the enrollment process to utilize voice recognition for each user based on historical information which can be used in the selection process of phrases a user speaks during enrollment of a voice recognition function or skill. The selection process can utilize phrases that have already been spoken to the electronic device; it can utilize phrases, contacts, or other personalized information it can obtain from the user account of the person enrolling; it can use any of the information just described to select specific words to enhance the probably of achieving higher phonetic matches based on words the individual user is more likely to speak to the device.";1
238;10496754;2017;2019;Elemental Cognition Inc.;Elemental Cognition Inc.;G06F40/30,G06F16/22,G06F16/3329,G06F16/3331,G06F40/211,G06F40/35,G06F40/40,G06N3/006,G06N5/02,G06N5/027,G06N5/04,G06N7/01,G06N20/00,G10L15/26;Architecture and processes for computer learning and understanding;An architecture and processes enable computer learning and developing an understanding of arbitrary natural language text through collaboration with humans in the context of joint problem solving. The architecture ingests the text and then syntactically and semantically processes the text to infer an initial understanding of the text. The initial understanding is captured in a story model of semantic and frame structures. The story model is then tested through computer generated questions that are posed to humans through interactive dialog sessions. The knowledge gleaned from the humans is used to update the story model as well as the computing system's current world model of understanding. The process is repeated for multiple stories over time, enabling the computing system to grow in knowledge and thereby understand stories of increasingly higher reading comprehension levels.;1
239;10496884;2017;2019;DEEPRADIOLOGY, INC.;DEEPRADIOLOGY, INC.;G06T7/0012,G06N3/045,G06N3/084,G06V10/82,G06V20/20,G06V30/1916,G06V30/19173,G06V30/413,G06T2207/20081,G06T2207/20084,G06T2207/30176,G06V2201/03;Transformation of textbook information;Methods and systems for transforming image data and training or testing neural networks. Images from textbooks can contain valuable related text. Transforming the related text into discrete determinate labels can be performed using natural language processing. Once transformed, the images and the labels can be advantageously used together to train neural networks.;1
240;10503804;2019;2019;Capital One Services, LLC;Capital One Services, LLC;G06F16/9577,G06F8/22,G06F8/38,G06F8/77,G06F11/3438,G06F11/3672,G06F11/3684,G06F11/3692,G06F16/9535,G06F16/9536,G06F16/958,G06N3/126,G06F11/3419;System for automating the creation and evaluation of website variations to improve user engagement;Described is a system (and method) for automating the process of generating variations of a website that may be continually evaluated to improve a user interaction flow. The process may be based on a genetic algorithm that creates improving generations of websites. For example, the system may automate the creation of different layouts for a website and evaluate the effectiveness of each layout based on a particular user interaction goal. The most effective (e.g., top performing) layouts may be determined and then âbredâ as part of an iterative improvement process.;0
